geneSymbol	diseaseClass	diseaseClassLabel
PAX6	D013568	17
PAX7	D009369	12
PAX8	D009369	12
PBLD	D009369	12
PBRM1	D009369	12
PBX1	D064419	21
PCDHB8	D009369	12
PCK1	D002318	1
PCK2	D013568	17
PCNA	D009369	12
PCSK1	D013568	17
PCSK5	D012140	16
PCSK9	D002318	1
PCYOX1	D013568	17
PDCD1	D009369	12
PDE10A	D064419	21
PDE11A	D004700	3
PDE12	D007239	8
PDE1C	D064419	21
PDE3A	D002318	1
PDE4B	D009369	12
PDE4D	D064419	21
PDE6A	D005128	4
PDE6B	D005128	4
PDE6G	D005128	4
PDE6H	D005128	4
PDE8B	D013568	17
PDGFA	D012140	16
PDGFB	D012140	16
PDGFC	D009369	12
PDGFD	D002318	1
PDGFRA	D002318	1
PDGFRB	D006425	6
PDHA1	D009750	14
PDIA3	D002318	1
PDK2	D009369	12
PDK4	D004066	2
PDLIM3	D002318	1
PDLIM5	D002318	1
PDP1	D009750	14
PDPK1	D002318	1
PDX1	D004066	2
PDYN	D009422	13
PDZD7	D005128	4
PDZK1	D009369	12
PEBP1	D002318	1
PECAM1	D002318	1
PEG3	D009369	12
PELI1	D017437	19
PEMT	D004066	2
PENK	D064419	21
PEPD	D007239	8
PER1	D064419	21
PER2	D064419	21
PER3	D064419	21
PEX11A	D009750	14
PEX7	D005128	4
PF4	D007154	7
PFKFB3	D002318	1
PFKM	D002318	1
PGAM1	D009369	12
PGBD5	D009369	12
PGF	D005261	5
PGM1	D002318	1
PGR	D005261	5
PGRMC1	D009422	13
PHACTR1	D002318	1
PHB	D009369	12
PHC1	D009369	12
PHETA1	D009358	11
PHF21A	D017437	19
PHGDH	D009369	12
PHLDB1	D009369	12
PHOX2B	D004066	2
PHYH	D005128	4
PI3	D017437	19
PIAS1	D017437	19
PIBF1	D005261	5
PICALM	D009369	12
PICK1	D064419	21
PIEZO2	D017437	19
PIGA	D006425	6
PIGB	D009140	10
PIGH	D009422	13
PIGM	D002318	1
PIGQ	D009422	13
PIGT	D006425	6
PIGU	D009140	10
PIK3CA	D009369	12
PIK3CB	D009369	12
PIK3CD	D012140	16
PIK3CG	D002318	1
PIK3R1	D009369	12
PIM1	D009369	12
PIM2	D009369	12
PINK1	D009422	13
PIP4K2A	D009369	12
PIR	D017437	19
PISD	D005128	4
PITPNM3	D005128	4
PITX2	D005128	4
PITX3	D005128	4
PIWIL1	D064419	21
PKD1	D017437	19
PKD1L1	D009358	11
PKD2	D009358	11
PKHD1	D009358	11
PKLR	D006425	6
PKM	D009369	12
PKMYT1	D009369	12
PKNOX2	D064419	21
PKP2	D002318	1
PLA2G2A	D002318	1
PLA2G4A	D012140	16
PLA2G5	D005128	4
PLA2G6	D009422	13
PLA2G7	D007154	7
PLA2R1	D064419	21
PLAA	D013568	17
PLAG1	D009369	12
PLAT	D006425	6
PLAU	D012140	16
PLAUR	D009369	12
PLCB1	D006425	6
PLCB4	D010038	15
PLCE1	D007239	8
PLCG1	D009369	12
PLCG2	D009422	13
PLD2	D007239	8
PLEKHA7	D005128	4
PLEKHG1	D064419	21
PLEKHG5	D009422	13
PLG	D006425	6
PLIN2	D004066	2
PLK1	D009369	12
PLK2	D009369	12
PLN	D002318	1
PLOD1	D009358	11
PLP1	D064419	21
PLPP1	D013568	17
PLPP3	D002318	1
PLTP	D009750	14
PLXNC1	D005261	5
PLXND1	D002318	1
PMAIP1	D064419	21
PMEL	D009369	12
PML	D009369	12
PMP22	D009422	13
PMS2	D009369	12
PNKP	D009750	14
PNOC	D009422	13
PNPLA2	D002318	1
PNPLA3	D004066	2
PNPLA6	D009422	13
PODXL	D002318	1
POLD1	D004700	3
POLG	D009422	13
POLK	D009369	12
POLR3B	D004700	3
POLR3K	D013568	17
POMC	D002318	1
POMP	D005128	4
PON1	D004700	3
PON2	D002318	1
POR	D009369	12
POT1	D009358	11
POU4F1	D009369	12
POU5F1	D009369	12
PPARA	D004066	2
PPARD	D009422	13
PPARG	D009369	12
PPARGC1A	D002318	1
PPARGC1B	D009750	14
PPAT	D002318	1
PPBP	D007154	7
PPFIBP1	D012140	16
PPIA	D009369	12
PPIF	D013568	17
PPM1B	D002318	1
PPM1D	D009369	12
PPM1G	D064419	21
PPP1R13L	D009369	12
PPP1R1A	D002318	1
PPP1R1B	D064419	21
PPP2CA	D002318	1
PPP2R1A	D013568	17
PPP2R2A	D013568	17
PPP2R2C	D013568	17
PPP2R5A	D013568	17
PPP2R5C	D013568	17
PPP2R5E	D013568	17
PPP3CA	D004066	2
PPP3R1	D002318	1
PPP6C	D009369	12
PPT1	D005128	4
PQBP1	D013568	17
PRAME	D009369	12
PRDM1	D004066	2
PRDM16	D009422	13
PRDM2	D064419	21
PRDM5	D017437	19
PRDM8	D009422	13
PRDX1	D009369	12
PRDX2	D009369	12
PRDX3	D009422	13
PRDX4	D009750	14
PRDX6	D017437	19
PRF1	D004066	2
PRICKLE1	D009422	13
PRKAA1	D009750	14
PRKAA2	D009750	14
PRKAB1	D013568	17
PRKACA	D009369	12
PRKACB	D009369	12
PRKAG2	D002318	1
PRKAR1A	D004700	3
PRKAR2B	D002318	1
PRKCA	D004066	2
PRKCB	D009750	14
PRKCD	D004066	2
PRKCE	D009422	13
PRKCH	D064419	21
PRKCQ	D005128	4
PRKCZ	D009358	11
PRKD1	D009369	12
PRKD3	D009369	12
PRKDC	D012140	16
PRKG1	D009369	12
PRKN	D009422	13
PRKRA	D009422	13
PRL	D004700	3
PRLR	D005261	5
PRMT6	D064419	21
PRNP	D009422	13
PROC	D002318	1
PROCR	D002318	1
PRODH	D009422	13
PROKR2	D064419	21
PROM1	D009369	12
PRPF19	D013568	17
PRPF3	D005128	4
PRPF31	D005128	4
PRPF4	D064419	21
PRPF6	D005128	4
PRPF8	D005128	4
PRPH2	D005128	4
PRPS1	D013568	17
PRRT2	D009422	13
PRRX1	D009422	13
PRSS1	D004066	2
PRSS2	D004066	2
PRSS56	D005128	4
PRSS8	D017437	19
PSCA	D009369	12
PSEN1	D009422	13
PSEN2	D009422	13
PSIP1	D009369	12
PSMA2	D002318	1
PSMA4	D009369	12
PSMA5	D004066	2
PSMB1	D009422	13
PSMB5	D002318	1
PSMD12	D017437	19
PSME1	D009369	12
PSMG1	D004066	2
PSTPIP1	D017437	19
PTBP1	D009369	12
PTCH1	D009369	12
PTCH2	D009369	12
PTEN	D009369	12
PTER	D009369	12
PTF1A	D004066	2
PTGER1	D009369	12
PTGER2	D005261	5
PTGER3	D002318	1
PTGER4	D005261	5
PTGES	D013568	17
PTGFR	D005261	5
PTGIR	D002318	1
PTGIS	D005261	5
PTGS1	D006425	6
PTGS2	D009369	12
PTH	D002318	1
PTH1R	D009057	9
PTHLH	D009140	10
PTK2	D009369	12
PTK2B	D009369	12
PTMA	D004066	2
PTN	D009369	12
PTP4A1	D064419	21
PTPA	D009358	11
PTPN1	D009750	14
PTPN11	D006425	6
PTPN14	D009369	12
PTPN2	D004066	2
PTPN22	D004066	2
PTPN3	D002318	1
PTPN5	D013568	17
PTPN6	D009750	14
PTPRA	D002318	1
PTPRB	D009369	12
PTPRC	D005128	4
