Gene_1	Gene_2	Expression_Value
S000004065	S000002895	0.12073918
S000002444	S000002844	0.19797569
S000003733	S000002309	0.07513514
S000000452	S000004581	0.19112033
S000003934	S000003309	0.13062466
S000001025	S000005966	0.12735462
S000006317	S000001758	0.03664507
S000001102	S000005273	0.14666414
S000002664	S000005183	0.09411486
S000005601	S000004581	0.19665044
S000003062	S000001023	0.18211312
S000005853	S000006339	0.19745776
S000002923	S000001104	0.00733271
S000001300	S000003306	0.04236214
S000001508	S000003693	0.00122688
S000004801	S000004635	0.1383555
S000005529	S000001589	0.06594687
S000004584	S000001564	0.12021868
S000006339	S000006260	0.02144683
S000003499	S000002240	0.20170728
S000006081	S000000122	0.15019443
S000005165	S000006260	0.06219768
S000002241	S000005166	0.078869
S000006387	S000005571	0.1888581
S000000476	S000005409	0.08072587
S000003931	S000000371	0.18796691
S000000974	S000003038	0.10235932
S000003209	S000002620	0.08695737
S000003712	S000003326	0.18683266
S000001328	S000001297	0.13369739
S000003625	S000005419	0.07839335
S000005429	S000001688	0.16090401
S000005529	S000004650	0.11096078
S000004534	S000001496	0.01789351
S000003826	S000003900	0.10144134
S000003180	S000004493	0.1430047
S000005666	S000005658	0.00815516
S000004297	S000005185	0.0907067
S000004276	S000005468	0.13730156
S000000188	S000002938	0.1545308
S000000374	S000005685	0.07824483
S000005615	S000006349	0.16920498
S000004490	S000002285	0.08109655
S000004833	S000004339	0.15808231
S000005528	S000000273	0.0939704
S000004234	S000000308	0.14642429
S000002432	S000000572	0.14682742
S000005702	S000006153	0.00379432
S000001226	S000005000	0.09695754
S000004213	S000003852	0.04893178
S000004230	S000005791	0.14020135
S000005205	S000000559	0.10221615
S000004162	S000005366	0.0739737
S000005959	S000004249	0.06404601
S000000292	S000003139	0.20226672
S000004529	S000001688	0.033698
S000001771	S000005326	0.15174683
S000000400	S000004082	0.07508493
S000002536	S000000322	0.06483518
S000003804	S000000301	0.13519098
S000002761	S000004498	0.11336853
S000004628	S000004332	0.01215714
S000003789	S000002785	0.10535242
S000003624	S000000494	0.18970392
S000003813	S000002172	0.03383123
S000005961	S000000326	0.11551939
S000006384	S000005340	0.07148556
S000001575	S000002632	0.18194109
S000003239	S000004349	0.1603235
S000005540	S000003060	0.09890908
S000002393	S000005796	0.00751292
S000003454	S000002481	0.03066457
S000005873	S000002309	0.07562415
S000004388	S000003177	0.10167471
S000002361	S000005922	0.03023997
S000001700	S000004033	0.00883499
S000000027	S000006260	0.12925204
S000005743	S000000004	0.19361636
S000005061	S000005008	0.14342101
S000002451	S000003653	0.03021891
S000006308	S000004970	0.13651999
S000001445	S000001020	0.13441825
S000004623	S000001898	0.0093414
S000006256	S000005487	0.01565184
S000004284	S000004121	0.05314549
S000002789	S000002444	0.05271572
S000003898	S000001596	0.16900834
S000002454	S000005023	0.17417237
S000000911	S000004926	0.17272471
S000004734	S000005041	0.02222637
S000003448	S000000027	0.11533833
S000000901	S000005141	0.13697656
S000001451	S000005943	0.04220111
S000003160	S000002702	0.0238483
S000001128	S000006155	0.12669307
S000005611	S000002718	0.15737281
S000004441	S000006339	0.1243902
S000000636	S000006075	0.02777701
S000002665	S000000154	0.00093585
S000003173	S000006214	0.04001281
S000001312	S000000403	0.02744469
S000005564	S000007222	0.0398262
S000002411	S000001734	0.06629324
S000000980	S000000287	0.04087365
S000002555	S000005666	0.19460212
S000003506	S000001767	0.02345826
S000005274	S000000893	0.01463356
S000005959	S000002750	0.11090508
S000002563	S000005862	0.05825622
S000000238	S000000510	0.12630484
S000000296	S000002241	0.11304769
S000005050	S000005862	0.02012327
S000006164	S000005791	0.16155559
S000000762	S000005113	0.03982243
S000000426	S000002445	0.04684159
S000003973	S000004363	0.12734723
S000002603	S000001621	0.07143928
S000003006	S000000269	0.02256158
S000002454	S000005226	0.07687048
S000001528	S000001292	0.19026182
S000001017	S000002812	0.16745878
S000001421	S000005130	0.19451572
S000002198	S000000081	0.00030667
S000004974	S000001138	0.18959403
S000000212	S000005979	0.17519816
S000006036	S000000738	0.07598681
S000004529	S000000048	0.08858296
S000003214	S000005130	0.13013674
S000004387	S000003073	0.0775941
S000000944	S000006088	0.1614743
S000005814	S000000242	0.19027272
S000002504	S000004974	0.16235943
S000002640	S000003324	0.19005707
S000004051	S000005658	0.17586954
S000003423	S000000199	0.16624002
S000003820	S000005355	0.03551159
S000002476	S000003783	0.19972157
S000005683	S000005861	0.07768874
S000005260	S000000405	0.09747999
S000001447	S000006006	0.07271308
S000005092	S000003320	0.05129912
S000003391	S000003513	0.15076887
S000003403	S000001162	0.10396691
S000002290	S000001803	0.04228265
S000001667	S000000849	0.05818578
S000005234	S000005666	0.01195497
S000002379	S000004848	0.12232405
S000003350	S000005212	0.07253475
S000004470	S000004685	0.10993579
S000002286	S000003716	0.19812782
S000001330	S000001872	0.0036212
S000000212	S000003394	0.03439075
S000000661	S000004227	0.03813849
S000002253	S000000010	0.19403304
S000000818	S000000924	0.00025435
S000000264	S000005380	0.16236004
S000002762	S000005864	0.01131044
S000002292	S000003852	0.13650794
S000000131	S000000813	0.16131994
S000000262	S000001486	0.19825696
S000000287	S000001092	0.08149616
S000003676	S000003121	0.16936192
S000004615	S000002376	0.03614148
S000002302	S000001547	0.01957465
S000002597	S000001232	0.14100083
S000002976	S000000227	0.08343038
S000006125	S000002295	0.05849443
S000000098	S000004088	0.18027099
S000000925	S000001207	0.18646919
S000001277	S000003314	0.17220684
S000000476	S000001541	0.18288309
S000005271	S000001272	0.05334975
S000003867	S000002162	0.10754837
S000002266	S000003792	0.01335506
S000005302	S000001100	0.13792188
S000005855	S000002620	0.06375491
S000003670	S000000856	0.07483431
S000001613	S000002419	0.1084169
S000004317	S000000080	0.08470467
S000005160	S000004467	0.17697316
S000004526	S000004780	0.19100507
S000004640	S000004509	0.10283159
S000005871	S000001159	0.13721615
S000002299	S000005233	0.15845066
S000000065	S000003105	0.14704405
S000003856	S000000904	0.17496721
S000003999	S000000080	0.03643896
S000001380	S000000213	0.12050035
S000000780	S000003306	0.08016857
S000002640	S000005713	0.08049008
S000002236	S000000956	0.12374091
S000003723	S000003348	0.01872645
S000000661	S000005727	0.07565614
S000001011	S000001714	0.13815416
S000001373	S000002411	0.15668754
S000003653	S000003276	0.14475689
S000000441	S000000756	0.13989007
S000005654	S000000214	0.13189669
S000000663	S000002301	0.03103276
S000002642	S000001363	0.20057816
S000004734	S000001103	0.14281789
S000001277	S000001280	0.19515133
S000002295	S000002369	0.02953508
S000004641	S000004295	0.01076347
S000002188	S000003834	0.20162156
S000028508	S000002441	0.05760207
S000006372	S000000350	0.04523032
S000003882	S000000689	0.16169313
S000003062	S000002200	0.12266634
S000003155	S000000296	0.05763595
S000003755	S000005000	0.00381587
S000002562	S000005041	0.02401898
S000003245	S000003163	0.10802932
S000002580	S000000900	0.03012573
S000004688	S000000004	0.10173373
S000005164	S000000133	0.10984306
S000002635	S000000890	0.11033458
S000003098	S000003446	0.15965824
S000001671	S000005620	0.15127061
S000000405	S000003252	0.09453171
S000003312	S000001511	0.04716024
S000002359	S000005546	0.1194765
S000005856	S000002976	0.06588454
S000001494	S000006111	0.02297028
S000002783	S000000135	0.14403319
S000002832	S000006131	0.04932349
S000002848	S000002319	0.03518245
S000005423	S000004893	0.07050163
S000001012	S000001065	0.04590055
S000000607	S000000753	0.02673367
S000003860	S000000291	0.14904085
S000003206	S000000380	0.0708339
S000001855	S000001570	0.12997691
S000004977	S000005274	0.06233872
S000000301	S000002250	0.03476071
S000005017	S000005864	0.11847427
S000003122	S000001204	0.16072014
S000004830	S000004535	0.07732005
S000004574	S000000530	0.10191281
S000002432	S000002691	0.06097252
S000000467	S000000397	0.09262469
S000001496	S000002579	0.00227708
S000003973	S000002905	0.00193636
S000000138	S000002446	0.12107842
S000000970	S000001929	0.08683741
S000003813	S000000689	0.16639837
S000002719	S000002910	0.14863731
S000004900	S000004134	0.10361474
S000003041	S000000038	0.07373997
S000000467	S000004640	0.03177098
S000001063	S000003163	0.18894016
S000001617	S000000364	0.07557364
S000001332	S000002709	0.08488721
S000005904	S000002487	0.01099122
S000003225	S000003031	0.19684572
S000002596	S000003276	0.00473295
S000002602	S000000228	0.0687473
S000001232	S000002605	0.01777632
S000003878	S000001507	0.05954469
S000005625	S000004535	0.1392991
S000005859	S000001621	0.10595886
S000003198	S000000162	0.01017669
S000004361	S000002264	0.0530183
S000000978	S000003304	0.17030264
S000001694	S000002172	0.01683459
S000005290	S000006311	0.13934312
S000005540	S000004410	0.15125691
S000004734	S000005419	0.12510946
S000003713	S000000638	0.13958969
S000005230	S000004789	0.00845479
S000001846	S000005686	0.1537392
S000001461	S000005380	0.1397574
S000000103	S000002565	0.14870716
S000006251	S000000780	0.11575742
S000003006	S000005996	0.17086611
S000002551	S000000753	0.14833141
S000001508	S000003252	0.14865246
S000004849	S000005083	0.03031912
S000000644	S000000963	0.16614515
S000002359	S000003663	0.03590609
S000001103	S000006135	0.09061185
S000002471	S000003304	0.03617425
S000000909	S000005272	0.02332397
S000002600	S000000101	0.1123764
S000005132	S000006069	0.17642903
S000002513	S000003093	0.13721228
S000001447	S000005372	0.1912824
S000005737	S000000316	0.11356161
S000005369	S000000904	0.16651127
S000004364	S000001484	0.09947306
S000004970	S000001159	0.02282631
S000004422	S000006094	0.06392855
S000003261	S000002338	0.00516429
S000004511	S000000849	0.15338475
S000004324	S000000368	0.02124371
S000004385	S000004289	0.05684659
S000006312	S000000995	0.03247819
S000002885	S000003124	0.0875729
S000006066	S000001412	0.02065221
S000003407	S000000134	0.01297239
S000000400	S000004889	0.03151772
S000000287	S000002479	0.04853831
S000002404	S000005000	0.12150704
S000005857	S000005383	0.1667768
S000001030	S000001451	0.00296796
S000005214	S000001114	0.11863811
S000005205	S000003103	0.0380606
S000000933	S000000601	0.03947088
S000005215	S000001621	0.1750283
S000001023	S000002242	0.14540693
S000003068	S000002487	0.06389741
S000004327	S000004840	0.09428459
S000003804	S000005997	0.07799846
S000004578	S000001484	0.04900496
S000003506	S000003340	0.164593
S000005260	S000003073	0.12107189
S000002632	S000005677	0.13004777
S000002411	S000005180	0.14719176
S000006229	S000006175	0.15947111
S000002404	S000002341	0.0715739
S000001447	S000000171	0.01340241
S000001332	S000002319	0.07300013
S000000334	S000002432	0.09436715
S000004974	S000005717	0.19588038
S000002361	S000002289	0.08122202
S000001061	S000002856	0.05602888
S000006315	S000005048	0.11975413
S000002534	S000000596	0.16111182
S000000661	S000001206	0.16593225
S000004422	S000005642	0.1909211
S000001165	S000001473	0.14794711
S000003312	S000002338	0.01090428
S000001656	S000005203	0.19585479
S000005299	S000001308	0.1470779
S000000739	S000006312	0.0859423
S000006385	S000000419	0.00799809
S000000762	S000001668	0.09139063
S000004359	S000004121	0.18581661
S000002253	S000001066	0.14915203
S000005456	S000004334	0.12492687
S000001275	S000005713	0.18911415
S000001055	S000005743	0.08209348
S000005531	S000004887	0.08673746
S000000944	S000003836	0.10656214
S000003394	S000006403	0.01785835
S000007267	S000003044	0.09722571
S000006387	S000003308	0.03155008
S000002706	S000006036	0.05326796
S000000157	S000001563	0.16783951
S000000483	S000005959	0.09452871
S000001640	S000003466	0.17264564
S000001665	S000005717	0.08425105
S000002391	S000005867	0.00172065
S000000422	S000000373	0.10552017
S000005786	S000005934	0.0224178
S000002986	S000000402	0.05562783
S000000283	S000005937	0.04273889
S000004622	S000003465	0.11610737
S000005086	S000005328	0.02614107
S000001898	S000003276	0.15307588
S000001070	S000004153	0.07592571
S000002292	S000000123	0.08264847
S000000334	S000005791	0.03246905
S000002306	S000005183	0.01722642
S000006292	S000005340	0.00888705
S000000523	S000002200	0.0141128
S000001933	S000004033	0.03150105
S000005700	S000005032	0.11371552
S000005057	S000003329	0.072712
S000006264	S000000202	0.18321067
S000000498	S000005902	0.0942147
S000003999	S000002876	0.16213072
S000000795	S000000119	0.02323093
S000005046	S000003105	0.11182265
S000001007	S000001570	0.16841018
S000001807	S000004795	0.04294498
S000005648	S000002844	0.19534774
S000001108	S000001929	0.14810553
S000001324	S000005856	0.16367334
S000004370	S000003312	0.01166152
S000000461	S000001466	0.07812057
S000005551	S000003139	0.12212382
S000000971	S000001586	0.08339248
S000003449	S000000548	0.14504819
S000006069	S000000963	0.11567693
S000000483	S000004581	0.14100151
S000003410	S000005272	0.12124917
S000003062	S000006403	0.13978711
S000001595	S000005922	0.03755208
S000001165	S000000638	0.03045954
S000000829	S000000875	0.09103164
S000000176	S000005727	0.06622334
S000005643	S000004434	0.1045599
S000003589	S000001226	0.04765267
S000004877	S000004584	0.13525486
S000005591	S000001026	0.04025977
S000000301	S000003932	0.15195691
S000000535	S000004665	0.05521182
S000005776	S000002937	0.16379369
S000000618	S000001695	0.03385927
S000000756	S000001677	0.02733902
S000002479	S000000318	0.02317278
S000003245	S000003592	0.12599782
S000001933	S000000403	0.06906878
S000003116	S000005015	0.08532411
S000005234	S000000111	0.18236345
S000004993	S000004463	0.18921325
S000000390	S000003098	0.18056914
S000002239	S000005966	0.10376786
S000005528	S000000002	0.08396056
S000000974	S000003853	0.00525228
S000003425	S000002908	0.17761912
S000005188	S000006140	0.10881045
S000004034	S000005756	0.10414995
S000004347	S000002691	0.12740117
S000004519	S000003183	0.058481
S000002596	S000000287	0.07726875
S000003169	S000003750	0.11601606
S000003860	S000001709	0.01740306
S000000327	S000005086	0.09584714
S000001060	S000004993	0.09658753
S000006018	S000000875	0.10991642
S000001710	S000000284	0.04786721
S000001774	S000002574	0.1491889
S000004164	S000000856	0.01105973
S000002802	S000001206	0.15379171
S000002831	S000001272	0.18831521
S000004888	S000004736	0.13068336
S000002757	S000002667	0.06964485
S000002404	S000004837	0.05613456
S000003102	S000002762	0.12758386
S000002203	S000000048	0.14265995
S000003693	S000003900	0.06517251
S000004525	S000001126	0.05643561
S000004877	S000001794	0.02565194
S000002977	S000000272	0.11938187
S000004178	S000002790	0.11205011
S000006073	S000000330	0.08345724
S000003375	S000005166	0.08498529
S000005404	S000002982	0.07899754
S000005235	S000001138	0.15095772
S000002597	S000006214	0.08648062
S000005476	S000001104	0.17925119
S000004351	S000000324	0.01540334
S000003245	S000001377	0.13094972
S000004069	S000004045	0.06605218
S000002848	S000003829	0.03667278
S000001776	S000005335	0.02814304
S000006261	S000002469	0.20169683
S000004564	S000005597	0.18393819
S000003155	S000006238	0.06214755
S000001494	S000001395	0.08680857
S000006111	S000000632	0.05868352
S000003904	S000000011	0.17414397
S000002238	S000003012	0.13196815
S000005735	S000004339	0.05029953
S000004556	S000005298	0.10655617
S000005868	S000000118	0.06392244
S000003276	S000005008	0.1541223
S000005399	S000000520	0.12829157
S000000433	S000000995	0.19504827
S000003562	S000002294	0.19760105
S000005900	S000003316	0.00082901
S000001057	S000001656	0.17943945
S000004264	S000004780	0.04171891
S000002495	S000000514	0.13459177
S000002300	S000004758	0.0364824
S000002489	S000002822	0.04549385
S000004662	S000001107	0.03693885
S000003122	S000001895	0.12075034
S000002178	S000004589	0.19090366
S000001022	S000005795	0.1136851
S000003003	S000001331	0.17750676
S000004870	S000005802	0.03843851
S000001595	S000006238	0.07520481
S000002669	S000006135	0.07966506
S000000370	S000005271	0.0945242
S000001628	S000004134	0.08853191
S000002385	S000000747	0.08189715
S000000334	S000000913	0.13622291
S000003239	S000000201	0.09516031
S000006090	S000001794	0.04824882
S000003448	S000005130	0.19079799
S000003901	S000005846	0.02619914
S000002280	S000003850	0.086303
S000000050	S000003530	0.09275569
S000001277	S000000126	0.10369441
S000005014	S000003530	0.00669488
S000003867	S000000514	0.05000392
S000005180	S000005937	0.04481002
S000002236	S000004359	0.13706538
S000000374	S000001324	0.06240486
S000005562	S000004390	0.12916289
S000000897	S000004993	0.17503404
S000000662	S000006141	0.17898714
S000002289	S000001653	0.10877561
S000005111	S000003326	0.19856067
S000005419	S000001579	0.05843441
S000000476	S000004138	0.14292332
S000002239	S000000181	0.05915997
S000003786	S000006260	0.12748641
S000005040	S000006136	0.14819487
S000006228	S000003398	0.01582059
S000003326	S000003825	0.14733182
S000001722	S000001314	0.03274187
S000003637	S000003039	0.17234016
S000001742	S000005783	0.0874821
S000005258	S000000395	0.19092629
S000003562	S000006247	0.10921616
S000005871	S000000412	0.04463607
S000000409	S000001292	0.07469287
S000006379	S000005553	0.07479357
S000004997	S000005185	0.09022102
S000002577	S000000297	0.10951619
S000000118	S000002605	0.03931981
S000002946	S000005490	0.10219108
S000000871	S000000913	0.12462993
S000004573	S000003825	0.14704916
S000001373	S000001323	0.17216556
S000001050	S000005427	0.08067514
S000006003	S000004071	0.06046119
S000005624	S000001633	0.15724437
S000005528	S000005361	0.08587308
S000006292	S000004599	0.08858373
S000001068	S000000397	0.02464747
S000001926	S000004230	0.0862299
S000003927	S000005173	0.10563548
S000002640	S000004948	0.17084185
S000001466	S000004477	0.15347355
S000005683	S000000392	0.18057989
S000000262	S000004961	0.09113696
S000006174	S000001060	0.11994183
S000000262	S000001305	0.15565892
S000002984	S000006292	0.08414383
S000003454	S000000642	0.06850201
S000005601	S000001471	0.00566215
S000000914	S000005890	0.18074625
S000006141	S000004896	0.12471961
S000004529	S000005758	0.15329569
S000005656	S000006223	0.07117037
S000003331	S000001104	0.02500935
S000004390	S000002800	0.06474687
S000000138	S000006177	0.01384662
S000001484	S000005850	0.01268681
S000002712	S000003387	0.05419558
S000005639	S000006395	0.18106896
S000002441	S000003380	0.09458522
S000001466	S000005028	0.09651552
S000004961	S000002777	0.08786147
S000002731	S000003764	0.1993305
S000002347	S000003264	0.0545537
S000005922	S000002750	0.08982419
S000006192	S000004325	0.039095
S000002313	S000005490	0.06307362
S000005711	S000003031	0.11508556
S000004972	S000002602	0.02019609
S000000871	S000004665	0.07300957
S000006048	S000003684	0.03242802
S000004916	S000002553	0.16465183
S000005750	S000001363	0.1422695
S000003387	S000000254	0.16063501
S000006158	S000001028	0.04202282
S000001084	S000004150	0.08241757
S000000607	S000001283	0.17359845
S000003550	S000002448	0.11261062
S000002868	S000002642	0.07697752
S000001846	S000006269	0.10129163
S000002175	S000002301	0.10491548
S000004527	S000002242	0.19436913
S000003892	S000005791	0.0337336
S000001489	S000000114	0.16984766
S000004105	S000000048	0.07461145
S000003562	S000002589	0.0318387
S000001718	S000005795	0.02384887
S000006317	S000002296	0.15942707
S000002764	S000006060	0.03973675
S000001885	S000004997	0.12855541
S000000221	S000004788	0.18375072
S000003766	S000000924	0.18666909
S000005298	S000001025	0.03430161
S000005271	S000000996	0.13606937
S000001679	S000003964	0.13334804
S000005083	S000000337	0.15653399
S000000768	S000000601	0.0204315
S000005106	S000000545	0.07949845
S000003995	S000002239	0.0863868
S000006333	S000005230	0.08672596
S000001218	S000004848	0.03879732
S000000212	S000004493	0.10498385
S000002338	S000001019	0.03666462
S000004430	S000002876	0.04647954
S000004513	S000002178	0.10630142
S000001215	S000004745	0.16032449
S000003472	S000000662	0.03790658
S000000213	S000002240	0.04440426
S000003279	S000004841	0.00750808
S000005061	S000000815	0.026346
S000004224	S000005742	0.02234565
S000001100	S000001545	0.0057885
S000002671	S000004810	0.07542313
S000002205	S000005574	0.08669906
S000004993	S000002534	0.13336276
S000006345	S000000184	0.19829302
S000005299	S000004745	0.03084183
S000004874	S000005422	0.11619148
S000005837	S000004110	0.13254594
S000002549	S000006148	0.06626552
S000005495	S000002708	0.16754476
S000002835	S000005900	0.07740248
S000006308	S000001055	0.12831611
S000001280	S000007441	0.17171158
S000006404	S000000490	0.18666976
S000003454	S000003850	0.14291238
S000003055	S000005961	0.06976606
S000002223	S000000272	0.03053741
S000000604	S000001012	0.05889905
S000005508	S000000004	0.10161194
S000005666	S000001079	0.00764867
S000003292	S000002301	0.19599954
S000002495	S000003264	0.03449658
S000001161	S000001736	0.11334218
S000000914	S000004626	0.16707557
S000003962	S000000893	0.1351479
S000001284	S000000242	0.00648545
S000006018	S000005335	0.10634921
S000001680	S000005676	0.18926248
S000004440	S000006111	0.11187639
S000003272	S000000183	0.01588666
S000005816	S000005611	0.13760899
S000000735	S000003294	0.01906837
S000002692	S000001665	0.16445853
S000002822	S000001929	0.02713469
S000003637	S000000202	0.15321252
S000001853	S000001776	0.06628105
S000002906	S000006148	0.02624993
S000001246	S000004153	0.13819078
S000002306	S000001136	0.05805344
S000004836	S000005776	0.11020797
S000001060	S000002895	0.11676488
S000003599	S000000181	0.02313518
S000005495	S000005201	0.13794656
S000000098	S000003623	0.10053754
S000003288	S000004433	0.07887485
S000003901	S000002453	0.08246176
S000004897	S000000141	0.16140223
S000000050	S000001378	0.16387169
S000005605	S000001187	0.18492307
S000003882	S000004961	0.07592692
S000005503	S000003237	0.00528204
S000001717	S000002632	0.12398396
S000004840	S000000763	0.15259768
S000001597	S000003213	0.10324993
S000003708	S000004842	0.08026384
S000002761	S000002851	0.04603579
S000000409	S000001747	0.20173079
S000002238	S000002691	0.09194488
S000001876	S000005686	0.11159184
S000004061	S000002266	0.18745925
S000006116	S000004970	0.19519717
S000001347	S000003260	0.11824517
S000004291	S000001631	0.10907378
S000001532	S000001624	0.05957373
S000003838	S000002295	0.04558349
S000004916	S000003852	0.06168468
S000000993	S000000893	0.07029693
S000004367	S000003326	0.16324103
S000001805	S000004650	0.00511231
S000006003	S000002750	0.0461196
S000004143	S000000228	0.17120812
S000001595	S000002304	0.05116855
S000004975	S000000002	0.17157833
S000001906	S000002200	0.15375513
S000000013	S000004493	0.13273649
S000002383	S000003111	0.18043768
S000006140	S000006161	0.13056946
S000003245	S000001378	0.10230307
S000001011	S000003931	0.03049586
S000004433	S000000943	0.17107272
S000000978	S000005245	0.04080959
S000002437	S000000037	0.01652602
S000004966	S000001631	0.19444802
S000005565	S000001880	0.08660679
S000000346	S000003268	0.14535359
S000000103	S000002737	0.15256661
S000002513	S000002340	0.07668364
S000005859	S000005666	0.01957955
S000005141	S000000510	0.1497835
S000000334	S000006273	0.17513302
S000002532	S000005274	0.19697742
S000002224	S000005796	0.12375368
S000003853	S000003530	0.15914059
S000004282	S000005338	0.05828803
S000001412	S000002624	0.07765758
S000005326	S000005004	0.00535199
S000001104	S000005383	0.11290248
S000005057	S000000490	0.11011833
S000003959	S000001159	0.13528159
S000004668	S000000393	0.02256595
S000003638	S000006292	0.12005379
S000000327	S000004849	0.14468874
S000006186	S000005212	0.08670745
S000000176	S000001945	0.12299666
S000004842	S000004431	0.03219414
S000028508	S000003830	0.14347089
S000005010	S000004926	0.15431391
S000003597	S000005632	0.01990694
S000004844	S000001794	0.02056531
S000000024	S000002976	0.04131126
S000004837	S000002921	0.17709676
S000001136	S000000148	0.05445497
S000005561	S000004239	0.19047314
S000006073	S000003476	0.07163397
S000005129	S000002200	0.07765182
S000005924	S000004860	0.07534158
S000001495	S000002908	0.18105772
S000004626	S000005195	0.01785734
S000004061	S000003834	0.05838686
S000000039	S000006384	0.15148064
S000000909	S000001650	0.0440516
S000004340	S000001450	0.04960512
S000005300	S000000750	0.11108007
S000005183	S000001663	0.0978882
S000000440	S000000536	0.12014625
S000002469	S000005839	0.20129181
S000005904	S000006135	0.1686608
S000000346	S000003306	0.14241783
S000005133	S000003764	0.06384949
S000000900	S000005008	0.13628062
S000001668	S000004982	0.00486987
S000001337	S000004022	0.00214154
S000003670	S000003389	0.09709513
S000001610	S000000019	0.07459985
S000002749	S000001592	0.07375839
S000005597	S000003530	0.05893903
S000004210	S000002632	0.05062087
S000000285	S000000404	0.03777465
S000001048	S000005791	0.13177028
S000001068	S000004082	0.19694279
S000005816	S000005924	0.20057044
S000005092	S000000520	0.12740766
S000000870	S000001312	0.04601156
S000001756	S000000235	0.13931106
S000003867	S000002164	0.10699933
S000002676	S000001066	0.15875456
S000003666	S000005201	0.00159126
S000003268	S000000632	0.01937894
S000004848	S000002542	0.15321796
S000002238	S000000514	0.18873127
S000004698	S000005873	0.05150747
S000003789	S000007294	0.03363611
S000001540	S000000957	0.08605891
S000005693	S000006088	0.05356763
S000002260	S000001839	0.07201116
S000003054	S000001880	0.16477379
S000002719	S000002294	0.14404198
S000000013	S000003901	0.20035134
S000001324	S000004528	0.189304
S000002248	S000001377	0.18761695
S000005529	S000001556	0.03586334
S000004466	S000001100	0.15552231
S000000476	S000001586	0.1020727
S000005341	S000003629	0.04752751
S000002671	S000006135	0.18790699
S000003919	S000004507	0.15353602
S000004888	S000003919	0.0472065
S000001050	S000005834	0.15012682
S000001233	S000000212	0.10620881
S000003905	S000001356	0.01725433
S000001236	S000005756	0.01863433
S000001868	S000004780	0.16768801
S000000176	S000004295	0.06635455
S000000337	S000000002	0.03888914
S000005057	S000001880	0.05425557
S000003634	S000003771	0.1022844
S000001653	S000001878	0.05850877
S000005848	S000004873	0.14784855
S000003538	S000006264	0.13030936
S000005378	S000003044	0.12825891
S000005600	S000006370	0.11633313
S000001162	S000000628	0.19243682
S000005250	S000003941	0.01061589
S000002673	S000003672	0.09710001
S000005639	S000005846	0.01743882
S000004403	S000001675	0.00918649
S000000291	S000001084	0.11610609
S000005802	S000006094	0.09474169
S000000318	S000002669	0.04012359
S000002489	S000000405	0.13806899
S000000872	S000003103	0.17512195
S000004061	S000003124	0.02474906
S000001493	S000000230	0.04512613
S000002313	S000001579	0.1051538
S000003703	S000001547	0.17489485
S000001337	S000005242	0.10796691
S000004317	S000003348	0.05234878
S000000636	S000001476	0.13557386
S000006228	S000002708	0.06772959
S000006039	S000001204	0.00035334
S000000370	S000003726	0.00067047
S000004806	S000000004	0.12288195
S000006073	S000004367	0.08598472
S000005593	S000003908	0.18870188
S000002886	S000000112	0.12298807
S000003723	S000005258	0.1888498
S000004164	S000003590	0.1738441
S000003425	S000003239	0.15552321
S000000289	S000004607	0.17792063
S000001171	S000001133	0.03407844
S000004029	S000005730	0.11932318
S000004812	S000002844	0.1216509
S000006000	S000000842	0.05229168
S000005311	S000002589	0.12197339
S000006073	S000006192	0.12036763
S000003003	S000003623	0.00550653
S000003351	S000005365	0.05396324
S000003607	S000000425	0.08460351
S000005540	S000002771	0.01457056
S000002432	S000005004	0.01807564
S000002241	S000005195	0.02857364
S000002596	S000003514	0.1019317
S000003026	S000000031	0.17287517
S000004279	S000003732	0.07980852
S000000810	S000000545	0.18341489
S000005221	S000004057	0.18208177
S000002676	S000001776	0.03338494
S000002504	S000005964	0.12984809
S000000827	S000003213	0.07503707
S000004490	S000003809	0.19165323
S000002993	S000005961	0.18479955
S000004806	S000000842	0.14044615
S000005006	S000004665	0.04376122
S000004950	S000000111	0.03089039
S000006221	S000003137	0.16489484
S000005290	S000000487	0.03029166
S000002757	S000002354	0.09355533
S000006004	S000004075	0.15151998
S000004083	S000004071	0.03722399
S000002165	S000001323	0.12177786
S000004223	S000003287	0.13414849
S000002984	S000005621	0.12978558
S000002306	S000001541	0.09340283
S000006311	S000000649	0.04667415
S000005226	S000006095	0.0257954
S000005378	S000001699	0.05704762
S000000900	S000005381	0.1374097
S000003209	S000004887	0.12877264
S000002492	S000005846	0.1875689
S000005299	S000005182	0.15658857
S000002319	S000004467	0.01201119
S000006251	S000005195	0.0911089
S000000039	S000005834	0.0844679
S000001207	S000000542	0.11899459
S000002486	S000001092	0.00775261
S000000896	S000000913	0.08339092
S000002602	S000003276	0.15227046
S000004258	S000004250	0.07631725
S000004896	S000004610	0.02475555
S000004950	S000004635	0.05818251
S000005742	S000001633	0.17431897
S000001017	S000002661	0.05357106
S000000555	S000006394	0.02426186
S000004028	S000002466	0.14969017
S000001801	S000005694	0.18837087
S000005230	S000003264	0.1137793
S000002862	S000003252	0.0629086
S000003550	S000000296	0.18647154
S000004977	S000003292	0.00172505
S000002661	S000005929	0.05371626
S000002447	S000000632	0.0767678
S000000213	S000001208	0.15457792
S000002353	S000002448	0.11579658
S000002210	S000003973	0.15572298
S000001760	S000001422	0.01772058
S000001665	S000001055	0.0783633
