Gene_1	Gene_2	Expression_Value
S000006002	S000000188	1.1351468
S000005400	S000006052	1.90858434
S000003350	S000003266	1.37460822
S000002706	S000005999	1.10148488
S000004157	S000004855	1.10000546
S000004578	S000004193	1.19526151
S000004065	S000002419	1.3430049
S000002999	S000005106	1.43358308
S000005819	S000003103	1.57849103
S000006119	S000004162	1.10141907
S000002855	S000003672	1.14113702
S000005622	S000005040	1.3447835
S000004359	S000003380	1.27844271
S000005760	S000001052	1.20569995
S000001492	S000003725	1.24495925
S000000003	S000003713	1.18156837
S000004239	S000004187	1.15044678
S000003672	S000001765	1.65098244
S000004157	S000002826	1.24358577
S000005896	S000001007	1.44570864
S000002837	S000006158	1.18584167
S000003157	S000001052	1.22046472
S000003769	S000004034	1.50815338
S000004019	S000006119	1.39715591
S000002241	S000004317	1.38305201
S000003588	S000004034	1.27065883
S000000876	S000002999	1.66142666
S000005659	S000001061	1.12808045
S000001802	S000003071	1.29609978
S000005400	S000003350	1.42515365
S000002671	S000005169	1.30721958
S000005693	S000002219	1.34892487
S000005122	S000002288	1.25886544
S000005400	S000003071	1.67990861
S000005245	S000002240	1.57496553
S000000904	S000000627	1.2414708
S000005011	S000004855	1.21147399
S000005487	S000005399	1.24646225
S000006052	S000000627	1.39078506
S000002793	S000001052	1.12144785
S000003701	S000002974	1.18448969
S000000780	S000000919	1.6145778
S000005499	S000003317	1.11255164
S000002219	S000004440	1.4100385
S000005196	S000005676	1.11365497
S000003266	S000005487	1.65661069
S000004157	S000003672	1.42771129
S000003726	S000006336	1.20467009
S000002826	S000006064	1.62710546
S000006040	S000003160	1.12443778
S000006052	S000001280	1.71970006
S000005013	S000001183	1.37052176
S000003317	S000002240	1.80976315
S000005622	S000003446	1.50624287
S000001061	S000003446	1.33106649
S000002432	S000001331	1.14126147
S000005400	S000003157	1.60510738
S000000876	S000001246	1.56454127
S000005245	S000003884	1.51224953
S000001486	S000000667	1.15593527
S000003044	S000000123	1.41487212
S000005896	S000004332	1.23816997
S000002219	S000006000	1.46412152
S000004440	S000000919	1.3587408
S000003727	S000006002	1.2935136
S000005750	S000001492	1.10172682
S000004957	S000003446	1.12324428
S000005958	S000000385	1.12850069
S000002156	S000003091	1.32024726
S000006000	S000000919	1.19212905
S000003906	S000002419	1.175292
S000001767	S000001280	1.28255693
S000002156	S000005400	1.38000337
S000004325	S000001489	1.551164
S000005246	S000001639	1.17414976
S000004855	S000005399	1.11674149
S000000123	S000001183	1.48479895
S000005559	S000004200	1.25722513
S000005896	S000003317	1.34729056
S000006064	S000005839	1.41814503
S000003968	S000002419	1.2786153
S000005760	S000002471	1.45258454
S000001802	S000005040	1.14739163
S000000904	S000001007	1.44222718
S000003331	S000000390	1.10896614
S000003674	S000003044	1.25897799
S000003446	S000005245	1.82453417
S000001246	S000002419	1.40835463
S000003091	S000005802	1.11164037
S000005867	S000005057	1.12031789
S000001586	S000003426	1.12009396
S000006052	S000004433	1.57429227
S000001765	S000006064	1.38638574
S000002879	S000003091	1.40659704
S000000904	S000003091	1.63901393
S000003350	S000005106	1.30759209
S000000123	S000004528	1.64176627
S000003725	S000003713	1.24337609
S000005819	S000006247	1.25313628
S000001331	S000002879	1.41845358
S000006247	S000002288	1.12060243
S000003906	S000006000	1.28759192
S000006119	S000000188	1.15434569
S000005693	S000004065	1.23369484
S000002393	S000003701	1.12440539
S000002156	S000003968	1.61437324
S000004038	S000000627	1.56182175
S000005262	S000001919	1.71098521
S000004325	S000001314	1.67783171
S000006306	S000004336	1.27995326
S000004254	S000001489	1.25564441
S000001410	S000004051	1.24686702
S000005481	S000006141	1.46011395
S000006119	S000003103	1.4150082
S000005760	S000003350	1.64639805
